SN,AGE,EMPLOY,ADDRESS,DEBTINC,CREDDEBT,OTHDEBT,DEFAULTER
624,2,18,7,7,0.54,2.61,No
625,1,6,4,5.4,1.17,1.31,No
626,3,15,8,3.6,2.4,4.29,No
627,2,11,12,10.9,2.86,2.26,No
628,2,3,13,6.9,0.41,1.18,No
629,1,2,6,19.8,1.02,3.14,No
630,1,6,6,20.2,2.26,2.18,No
631,3,7,11,7.9,1.87,2.94,No
632,3,18,27,14.1,5.78,8.6,No
633,3,31,9,23.1,14.23,17.18,Yes
634,1,1,0,8.4,1.21,0.55,Yes
635,2,12,8,4.1,0.32,3.08,No
636,3,24,15,11.5,5.06,6.44,No
637,1,0,7,13.3,2.15,1.71,Yes
638,2,7,11,30.7,3,9.59,Yes
639,3,6,1,6.3,0.12,1.07,No
640,2,7,17,9.9,1.69,2.27,No
641,3,1,16,4.4,0.24,0.59,No
642,3,16,31,5.6,1.33,1.13,No
643,2,6,5,11.5,2.33,0.54,No
644,1,5,6,2.9,0.34,0.39,No
645,3,28,25,12,4.33,4.07,No
646,1,0,1,3.9,1.02,0.62,Yes
647,2,11,6,6.8,0.3,2.01,No
648,1,6,6,4.9,0.88,1.22,No
649,3,11,17,1.3,0.18,0.3,No
650,1,5,7,18.7,2.13,3.11,No
651,3,6,7,6.4,0.59,1.13,Yes
652,2,4,9,13.6,1.25,1.34,No
653,1,12,10,8.5,0.17,3.06,No
654,1,2,0,9.4,0.23,1.65,Yes
655,2,11,2,32.5,1.27,9.46,No
656,3,15,5,2.1,0.32,0.94,No
657,2,12,9,6.6,0.44,1.14,No
658,2,16,10,10.5,1.14,4.84,No
659,3,4,4,12.5,0.14,2.73,No
660,3,12,9,15,2.53,5.72,No
661,2,2,3,7.1,0.18,1.8,No
662,2,0,13,0.9,0.12,0.16,Yes
663,2,6,8,2.8,0.4,1.11,No
664,2,11,13,8,1.27,1.53,No
665,2,15,1,10.6,5.5,2.66,No
666,3,24,10,5.6,2.99,2.66,No
667,3,21,14,13.2,3.19,11.72,No
668,2,0,12,0.9,0.08,0.13,No
669,2,7,14,4.9,0.26,1.16,No
670,2,10,4,13,0.96,4.63,No
671,1,3,4,6.3,0.55,0.96,No
672,1,0,7,12.8,0.58,1.72,No
673,2,6,1,1.2,0.04,0.2,No
674,2,0,5,11.1,1.37,2.4,Yes
675,1,4,4,3.7,0.32,0.42,No
676,3,30,8,6.4,1.87,4.59,No
677,1,8,1,11.8,0.44,4.28,No
678,2,6,9,2.1,0.39,0.37,Yes
679,2,9,8,9.3,0.42,4.04,No
680,2,17,4,3,0.09,1.17,No
681,1,7,2,25.4,1.17,7.22,Yes
682,1,4,0,9.7,0.2,1.16,Yes
683,2,1,17,11.5,0.32,3.13,No
684,1,1,1,6.3,0.14,0.87,No
685,2,18,10,10.5,0.84,4.72,No
686,2,7,5,16.1,1.7,4.58,Yes
687,2,1,4,7.9,0.85,0.73,No
688,2,10,1,10.3,2.5,0.9,Yes
689,2,12,12,10.8,1.37,5.98,No
690,1,4,2,10.7,0.23,1.7,No
691,1,0,5,7.3,0.02,1.14,No
692,3,31,8,7.2,9.31,8.91,No
693,3,0,26,28.9,2.75,5.05,Yes
694,1,0,2,4.7,0.22,0.72,No
695,3,6,1,12.1,2.32,5.67,No
696,2,6,15,4.6,0.26,0.98,Yes
697,1,6,4,11.5,0.37,2.05,No
698,2,15,3,7.6,0.49,1.94,No
699,3,19,22,8.4,2.3,4.17,No
700,2,12,14,14.7,2.99,3.47,No
